,precision,recall,f1,ndcg,hit_rate
ItemCF,0.2803346810422579,0.1302880594822601,0.17504561470490274,0.32482183070818255,0.8761792452830188
ALS,0.24521001796948663,0.11566723035288351,0.154553186944249,0.25488764606077324,0.8778638814016172
